,Player,PTS,AST,TRB,STL,BLK,PTS/G,AST/G,TRB/G,STL/G,BLK/G,Championships,new Championship Difficulty,Championship Difficulty,MVP,DPOY,FMVP,All NBA Teams,Rankings
10,Charles Barkley,0.34159102669916686,-0.17755681334738566,0.8635995132361397,0.726089576175096,0.16855624842105052,0.3742915309837108,-0.22660298560258754,0.836155203386269,0.8735561417765161,0.21299049883998114,-0.8801493834791666,-0.5951675647791297,-0.23853010123236598,0.11886432776254914,-0.25087260300212727,-0.45693676673168765,1.2320045338036072,-12.43650421129904
11,Chris Paul,0.06910904635749256,2.240177893673909,-0.6322013198935496,1.7914407047893894,-0.6104772923009868,-0.47834820205564077,2.132553529929583,-0.8712053730260545,1.6815567540248528,-0.6679577661425099,-0.8801493834791666,-0.5951675647791297,-0.23853010123236598,-0.6339430814002618,-0.25087260300212727,-0.45693676673168765,-0.7679096220406949,-22.637749319338482
12,Clyde Drexler,0.35397657126015203,0.5763675970770423,-0.27349608413103416,1.5533734134789328,0.029362935669562582,0.047530399747575024,0.47721172277438445,-0.4764367440178786,1.5682365536945817,-0.01140622699111435,-0.45408980931090764,1.3272555837620645,4.590116618587618,-0.6339430814002618,-0.25087260300212727,-0.45693676673168765,-0.7679096220406949,1.4384769401497604
13,Damian Lillard,-0.25468447573683467,0.13270697351301936,-1.0972521079056579,-0.36425861802679543,-0.5599635900927856,0.9915819381724826,0.9513030866336124,-0.9340420617921121,0.029196161641510798,-0.4687687783877474,-0.8801493834791666,-0.5951675647791297,-0.23853010123236598,-0.6339430814002618,-0.25087260300212727,-0.45693676673168765,-0.7679096220406949,-70.94762395210317
14,Dave Bing,-0.3974585004013783,0.21466970651250603,-1.0620145935689873,-0.660652395708314,-0.7283425974534565,0.010661586501196911,0.6505279822677428,-1.0370869407970174,-0.5720025908921653,-0.7484602424279213,-0.8801493834791666,-0.5951675647791297,-0.23853010123236598,-0.6339430814002618,-0.25087260300212727,-0.45693676673168765,-0.7679096220406949,-77.37504982782004
15,Dave Cowens,-1.052259103510167,-0.610598783243459,0.4200710393697824,-0.5225733667482492,-0.28045443787407187,-0.5339413791644487,-0.2816032805499553,1.2968383155934682,-0.21645280006184126,-0.03833314721090584,-0.028030235142648657,-0.5951675647791297,-0.23853010123236598,0.11886432776254914,-0.25087260300212727,-0.45693676673168765,-0.22247848862861258,-48.50736572843338
16,Dave DeBusschere,-0.8102646174724563,-0.68426569306486,0.43315323032112124,-1.1558323616340638,-0.7844689332403468,-0.8496720759938863,-0.6953115391852589,0.6831173373891207,-1.245210151483041,-0.8246706617324459,-0.028030235142648657,-0.5951675647791297,-0.23853010123236598,-0.6339430814002618,-0.25087260300212727,-0.45693676673168765,-0.7679096220406949,-67.89081723230161
17,David Robinson,-0.062232167943064735,-0.7662284260643466,0.4312542026023785,0.41660209747150234,2.487696443135358,0.15673971721372162,-0.8456346216057488,0.5853686954231676,0.6861774454401582,3.0695078549432067,-0.028030235142648657,0.6866054690858919,0.5413487741057562,0.11886432776254914,2.926847035024818,-0.45693676673168765,1.0501941559995795,108.6108641128636
18,Dennis Rodman,-1.982263784666341,-1.0452999177751494,0.7386856899588402,-0.5082893292696217,-0.23218578909734622,-2.6165401675980218,-1.150596430769436,1.175234813443989,-0.3773636845891517,-0.10983409583691003,1.2501484873621282,1.3750088395423552,-0.23853010123236598,-0.6339430814002618,-0.25087260300212727,-0.45693676673168765,-0.7679096220406949,-18.207089137563223
19,Dirk Nowitzki,1.403617446582326,-0.3647105842449989,0.6405692578237993,0.20472220820519593,0.6097092477060083,0.09048695652573678,-0.8772580508947507,-0.14684141764716227,-0.19762480953423273,0.23155115861125058,-0.45408980931090764,0.6705301156549032,2.51531915096714,0.11886432776254914,-0.25087260300212727,0.45693676673168765,1.4138149116076346,41.857630169890946
20,Dolph Schayes,-0.38235085813468206,-0.5568418490494637,0.5914055402163486,-1.2355849042230667,-0.8282474751541212,-0.3587642155201438,-0.5856202392810216,0.743344043984133,-1.3470722670773259,-0.8787708218120759,-0.45408980931090764,-0.5951675647791297,-0.23853010123236598,-0.6339430814002618,-0.25087260300212727,-0.45693676673168765,-0.7679096220406949,-73.04450511836507
21,Dominique Wilkins,0.9995220421695232,-0.6318360905793583,-0.16947156575990469,0.5142096869087895,-0.07390952217831558,0.9327329675733882,-0.8431062682491004,-0.35674660999607094,0.5043004217954994,-0.10654939988745023,-0.8801493834791666,-0.5951675647791297,-0.23853010123236598,-0.6339430814002618,-0.25087260300212727,-0.45693676673168765,-0.7679096220406949,-42.42007621162502
22,Dwyane Wade,0.36513717185356726,0.39153665666929305,-0.6893831545356918,0.7653706792413213,0.217947423913514,0.21394733122771856,0.3526911312681116,-0.8400895739005876,0.8210337112550132,0.2180224050160463,0.39802933902561033,1.6861142088832572,0.9190146918379696,-0.6339430814002618,-0.25087260300212727,-0.45693676673168765,-0.7679096220406949,25.963028476887274
